n,xm,ym,zm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
58,5.833330,-0.888889,1.000000,0.364098,0.656868,0.376000,0.668462,0.465166,0.666094,0.398470,0.606592,0.242876,0.633558
59,5.333330,-0.888889,1.000000,0.259333,0.652799,0.274849,0.666311,0.363868,0.656837,0.307865,0.608515,0.163698,0.617418
60,6.222220,-1.388890,1.000000,0.448413,0.521407,0.460079,0.545255,0.551644,0.533786,0.469371,0.480505,0.321735,0.539824
61,6.722220,-1.388890,1.000000,0.553028,0.524761,0.561550,0.547783,0.657431,0.540855,0.556616,0.479439,0.398942,0.555728
62,6.722220,-0.888889,1.000000,0.550918,0.662100,0.555007,0.672067,0.654612,0.682781,0.555547,0.602031,0.381481,0.660778
63,6.222220,-0.888889,1.000000,0.446214,0.659763,0.454580,0.670227,0.548209,0.673827,0.468128,0.604757,0.304513,0.645464
64,0.000000,-2.277780,1.000000,-0.789317,0.224986,-0.787907,0.267327,-0.557911,0.221143,-0.727998,0.230299,-0.699290,0.095119
65,0.500000,-2.277780,1.000000,-0.699064,0.228613,-0.693347,0.272217,-0.485685,0.225845,-0.628102,0.233739,-0.611816,0.117436
66,0.500000,-1.777780,1.000000,-0.702441,0.358970,-0.688193,0.398609,-0.489601,0.343419,-0.630638,0.366728,-0.627673,0.231877
67,0.000000,-1.777780,1.000000,-0.793096,0.352506,-0.781912,0.391666,-0.561840,0.336077,-0.730857,0.363239,-0.714774,0.210357
68,0.888889,-2.277780,1.000000,-0.625063,0.233321,-0.617989,0.276151,-0.424063,0.229566,-0.549315,0.236318,-0.542729,0.134009
69,1.388890,-2.277780,1.000000,-0.531311,0.236764,-0.520543,0.280675,-0.346675,0.234569,-0.449254,0.239281,-0.455676,0.156187
70,1.388890,-1.777780,1.000000,-0.534805,0.369074,-0.516798,0.408530,-0.350864,0.355480,-0.452247,0.371392,-0.471949,0.270248
71,0.888889,-1.777780,1.000000,-0.628620,0.363337,-0.613474,0.402208,-0.427803,0.348229,-0.551517,0.368459,-0.559019,0.248911
72,1.777780,-2.277780,1.000000,-0.455238,0.241390,-0.443586,0.284472,-0.281778,0.238142,-0.371322,0.242119,-0.387261,0.172757
73,2.277780,-2.277780,1.000000,-0.358361,0.245081,-0.343616,0.288694,-0.200027,0.243164,-0.272138,0.244328,-0.301138,0.193990
